"title"	"geo_accession"
"GSM1179079"	"Lung of bleomycin-treated rat after 8W, replicate 4"	"GSM1179079"
"GSM1179080"	"Lung of vehicle-treated rat after 3W, replicate 3"	"GSM1179080"
"GSM1179081"	"Lung of bleomycin-treated rat after 3D, replicate 4"	"GSM1179081"
"GSM1179082"	"Lung of bleomycin-treated rat after 3W, replicate 5"	"GSM1179082"
"GSM1179083"	"Lung of vehicle-treated rat after 3W, replicate 4"	"GSM1179083"
"GSM1179084"	"Lung of bleomycin-treated rat after 3W, replicate 4"	"GSM1179084"
"GSM1179085"	"Lung of bleomycin-treated rat after 3D, replicate 1"	"GSM1179085"
"GSM1179086"	"Lung of vehicle-treated rat after 8W, replicate 5"	"GSM1179086"
"GSM1179087"	"Lung of bleomycin-treated rat after 6W, replicate 2"	"GSM1179087"
"GSM1179088"	"Lung of vehicle-treated rat after 2W, replicate 2"	"GSM1179088"
"GSM1179089"	"Lung of vehicle-treated rat after 1W, replicate 1"	"GSM1179089"
"GSM1179090"	"Lung of vehicle-treated rat after 4W, replicate 3"	"GSM1179090"
"GSM1179091"	"Lung of bleomycin-treated rat after 1W, replicate 1"	"GSM1179091"
"GSM1179092"	"Lung of vehicle-treated rat after 2W, replicate 1"	"GSM1179092"
"GSM1179093"	"Lung of vehicle-treated rat after 1W, replicate 5"	"GSM1179093"
"GSM1179094"	"Lung of vehicle-treated rat after 6W, replicate 2"	"GSM1179094"
"GSM1179095"	"Lung of vehicle-treated rat after 3D, replicate 4"	"GSM1179095"
"GSM1179096"	"Lung of bleomycin-treated rat after 4W, replicate 3"	"GSM1179096"
"GSM1179097"	"Lung of vehicle-treated rat after 4W, replicate 2"	"GSM1179097"
"GSM1179098"	"Lung of vehicle-treated rat after 6W, replicate 4"	"GSM1179098"
"GSM1179099"	"Lung of bleomycin-treated rat after 3D, replicate 2"	"GSM1179099"
"GSM1179100"	"Lung of bleomycin-treated rat after 2W, replicate 4"	"GSM1179100"
"GSM1179101"	"Lung of vehicle-treated rat after 6W, replicate 5"	"GSM1179101"
"GSM1179102"	"Lung of vehicle-treated rat after 3D, replicate 1"	"GSM1179102"
"GSM1179103"	"Lung of untreated rat after 3D, replicate 1"	"GSM1179103"
"GSM1179104"	"Lung of vehicle-treated rat after 6W, replicate 3"	"GSM1179104"
"GSM1179105"	"Lung of bleomycin-treated rat after 8W, replicate 3"	"GSM1179105"
"GSM1179106"	"Lung of bleomycin-treated rat after 2W, replicate 5"	"GSM1179106"
"GSM1179107"	"Lung of vehicle-treated rat after 3D, replicate 3"	"GSM1179107"
"GSM1179108"	"Lung of vehicle-treated rat after 1W, replicate 2"	"GSM1179108"
"GSM1179109"	"Lung of bleomycin-treated rat after 2W, replicate 2"	"GSM1179109"
"GSM1179110"	"Lung of vehicle-treated rat after 3D, replicate 5"	"GSM1179110"
"GSM1179111"	"Lung of bleomycin-treated rat after 6W, replicate 1"	"GSM1179111"
"GSM1179112"	"Lung of vehicle-treated rat after 3W, replicate 1"	"GSM1179112"
"GSM1179113"	"Lung of vehicle-treated rat after 1W, replicate 3"	"GSM1179113"
"GSM1179114"	"Lung of bleomycin-treated rat after 1W, replicate 2"	"GSM1179114"
"GSM1179115"	"Lung of bleomycin-treated rat after 8W, replicate 1"	"GSM1179115"
