"probes"	"genes"
"A_42_P453055"	"Bcam"
"A_42_P453737"	"Nothing"
"A_42_P453894"	"Mien1"
"A_42_P453935"	"Naca"
"A_42_P453959"	"Lrsam1"
"A_42_P453976"	"Ifitm6"
"A_42_P454824"	"Ap2a1"
"A_42_P454907"	"Cdh23"
"A_42_P454929"	"Cdc42ep5"
"A_42_P454990"	"Jarid1a"
"A_42_P455025"	"Nothing"
"A_42_P455078"	"Zfp207"
"A_42_P455531"	"Chrm3"
"A_42_P455785"	"Copb1"
"A_42_P455825"	"Nothing"
"A_42_P455863"	"Rps7"
"A_42_P455886"	"RGD1308430"
"A_42_P455982"	"Pgm2"
"A_42_P456155"	"Uqcr11"
"A_42_P456277"	"Jarid1a"
"A_42_P456701"	"Mtfmt"
"A_42_P456939"	"Slc35b4"
"A_42_P457003"	"Pdgfra"
"A_42_P457756"	"Pkib"
"A_42_P457773"	"Txndc15"
"A_42_P457895"	"Supv3l1"
"A_42_P458060"	"Myadml2"
"A_42_P458524"	"Nothing"
"A_42_P458530"	"Ripk3"
"A_42_P458760"	"Nothing"
"A_42_P458876"	"Muc5ac"
"A_42_P458880"	"Elk4"
"A_42_P459149"	"Phkg2"
"A_42_P459306"	"Rnasek"
"A_42_P459349"	"Pkdcc"
"A_42_P459431"	"Bphl"
"A_42_P459574"	"Chchd10"
"A_42_P459774"	"Nothing"
"A_42_P460021"	"Adcy10"
"A_42_P460122"	"Higd2a"
"A_42_P460152"	"Lrp6"
"A_42_P460340"	"Mal2"
"A_42_P460609"	"Gabarapl2"
"A_42_P460737"	"Psd3"
"A_42_P460758"	"Nothing"
"A_42_P460785"	"Amacr"
"A_42_P461587"	"Ngf"
"A_42_P461726"	"Hdgfl1"
"A_42_P461794"	"Clic3"
"A_42_P462015"	"Obfc1"
"A_42_P462239"	"Acad9"
"A_42_P462299"	"Dnase2a"
"A_42_P462317"	"Fam81b"
"A_42_P462354"	"Nothing"
"A_42_P462379"	"Nothing"
"A_42_P462469"	"Lrrc41"
"A_42_P462543"	"Ankib1"
"A_42_P462711"	"Use1"
"A_42_P462771"	"Cd9"
"A_42_P462987"	"Vangl1"
"A_42_P462992"	"Vangl1"
"A_42_P463675"	"Itga7"
"A_42_P463754"	"Itga1"
"A_42_P463880"	"Plbd1"
"A_42_P463998"	"Abcc6"
"A_42_P464055"	"Olig2"
"A_42_P464378"	"Itih3"
"A_42_P464434"	"Nothing"
"A_42_P464489"	"Sema6b"
"A_42_P464974"	"Ly6d"
"A_42_P465144"	"Dennd2d"
"A_42_P465408"	"Sfmbt1"
"A_42_P465601"	"Myh10"
"A_42_P465664"	"Fam176b"
"A_42_P465696"	"Reg4"
"A_42_P465780"	"Rpl38"
"A_42_P465952"	"Nothing"
"A_42_P466272"	"Psen2"
"A_42_P466283"	"Gzmk"
"A_42_P466321"	"Matk"
"A_42_P466362"	"Adcy8"
"A_42_P466548"	"Ttll7"
"A_42_P466997"	"Ccm2"
"A_42_P467037"	"Eif2ak2"
"A_42_P467277"	"Gabbr2"
"A_42_P467630"	"Slc22a1"
"A_42_P467928"	"Rnf138"
"A_42_P467956"	"Sestd1"
"A_42_P467994"	"Slc12a4"
"A_42_P468038"	"Rps25"
"A_42_P468216"	"Ifi30"
"A_42_P468231"	"Cpne9"
"A_42_P468632"	"Rps28"
"A_42_P468662"	"Polr2d"
"A_42_P468712"	"Tacstd2"
"A_42_P468805"	"Cdk5rap1"
"A_42_P468909"	"Wnk4"
"A_42_P469142"	"Lmo7"
"A_42_P469248"	"Tnfsf12"
"A_42_P469969"	"Igsf10"
"A_42_P470283"	"Agtr2"
"A_42_P470417"	"RGD1308106"
"A_42_P470649"	"Dio1"
"A_42_P470757"	"Rnf34"
"A_42_P470864"	"Acot13"
"A_42_P470966"	"Nothing"
"A_42_P471271"	"Ptpn6"
"A_42_P471335"	"Zfp523"
"A_42_P471442"	"Slc12a1"
"A_42_P471507"	"Unc50"
"A_42_P471578"	"Tsc2"
"A_42_P471768"	"Eif4e2"
"A_42_P472077"	"Nothing"
"A_42_P472133"	"Slc2a6"
"A_42_P472274"	"Slurp1"
"A_42_P472304"	"Phf15"
"A_42_P472341"	"Nothing"
"A_42_P472375"	"Pdk2"
